,step,adult,child,limited_mobility,elder,employee,run
698,99,5,1,0,1,4,6
699,100,5,1,0,1,4,6
700,1,0,0,0,0,0,7
701,2,0,0,0,0,0,7
702,3,0,0,0,0,0,7
703,4,0,0,0,0,0,7
704,5,0,0,0,0,0,7
705,6,0,0,0,0,0,7
706,7,0,0,0,0,0,7
707,8,0,0,0,0,0,7
708,9,0,0,0,0,0,7
709,10,0,0,0,0,0,7
710,11,0,0,0,0,0,7
711,12,0,0,0,0,0,7
712,13,0,0,0,0,0,7
713,14,0,0,0,0,0,7
714,15,1,0,0,0,0,7
715,16,1,0,0,0,0,7
716,17,1,0,0,0,0,7
717,18,1,0,0,0,0,7
718,19,1,0,0,0,0,7
719,20,1,0,0,0,0,7
720,21,1,0,0,0,0,7
721,22,1,0,0,0,0,7
722,23,1,0,0,0,1,7
723,24,1,0,0,0,1,7
724,25,1,0,0,0,2,7
725,26,1,0,0,0,2,7
726,27,1,0,0,0,2,7
727,28,1,0,0,0,2,7
728,29,1,0,0,0,2,7
729,30,1,0,0,0,2,7
730,31,1,0,0,0,2,7
731,32,1,0,0,0,2,7
732,33,1,0,0,0,2,7
733,34,2,0,0,0,2,7
734,35,2,0,0,0,2,7
735,36,2,0,0,0,2,7
736,37,2,0,0,0,2,7
737,38,2,0,0,0,2,7
738,39,2,0,0,0,2,7
739,40,2,0,0,0,2,7
740,41,2,0,0,0,2,7
741,42,2,0,0,0,3,7
742,43,2,0,0,0,3,7
743,44,2,0,0,0,3,7
744,45,3,0,0,0,3,7
745,46,3,0,0,0,3,7
746,47,3,0,0,0,3,7
747,48,3,0,0,0,3,7
748,49,3,0,0,0,3,7
749,50,3,0,0,0,3,7
750,51,4,0,0,0,3,7
751,52,4,0,0,0,3,7
752,53,4,0,0,0,3,7
753,54,4,0,0,0,3,7
754,55,4,0,0,0,3,7
755,56,4,0,0,0,3,7
756,57,5,0,0,0,3,7
757,58,5,0,0,0,3,7
758,59,5,0,0,0,3,7
759,60,5,0,0,0,3,7
760,61,5,0,0,0,3,7
761,62,5,0,0,0,3,7
762,63,5,0,0,0,3,7
763,64,5,0,0,0,3,7
764,65,5,0,0,0,3,7
765,66,5,0,1,0,3,7
766,67,5,0,1,0,3,7
767,68,5,0,1,0,3,7
768,69,5,0,1,0,3,7
769,70,5,0,1,0,3,7
770,71,5,0,1,0,3,7
771,72,5,1,1,0,3,7
772,73,5,1,1,0,3,7
773,74,5,1,1,0,3,7
774,75,5,1,1,0,3,7
775,76,5,1,1,0,3,7
776,77,5,1,1,0,3,7
777,78,5,1,1,0,3,7
778,79,5,1,1,0,3,7
779,80,5,1,1,0,3,7
780,81,5,1,1,0,3,7
781,82,5,1,1,0,3,7
782,83,5,1,1,0,3,7
783,84,5,1,1,0,3,7
784,85,5,1,1,0,3,7
785,86,5,1,1,0,3,7
786,87,5,1,1,0,3,7
787,88,5,1,1,0,3,7
788,89,5,1,1,0,3,7
789,90,5,1,1,0,3,7
790,91,5,1,1,0,3,7
791,92,5,1,1,0,3,7
792,93,5,1,1,0,3,7
793,94,5,1,1,0,3,7
794,95,5,1,1,0,3,7
795,96,5,1,1,0,3,7
796,97,5,1,1,0,3,7
797,98,5,1,1,0,3,7
798,99,5,1,1,0,3,7
799,100,5,1,1,0,3,7
800,1,0,0,0,0,0,8
801,2,0,0,0,0,0,8
802,3,0,0,0,0,0,8
803,4,0,0,0,0,0,8
804,5,0,0,0,0,0,8
805,6,0,0,0,0,0,8
806,7,0,0,0,0,1,8
807,8,0,0,0,0,1,8
808,9,0,0,0,0,1,8
809,10,0,0,0,0,1,8
810,11,1,0,0,0,1,8
811,12,1,0,0,0,1,8
812,13,1,0,0,0,1,8
813,14,1,0,0,0,1,8
814,15,1,0,0,0,1,8
815,16,1,0,0,0,2,8
816,17,1,0,0,0,2,8
817,18,1,0,0,0,3,8
818,19,1,0,0,0,3,8
819,20,1,0,0,0,3,8
820,21,1,0,0,0,3,8
821,22,1,0,0,0,3,8
